192.168.32.1 - - [20/Sep/2019:09:34:07 +0000] "GET / HTTP/1.1" 200 15 "-" "PostmanRuntime/7.16.3" "-"
124.65.65.154 - - [28/Jul/2020:22:07:55 +0000] "POST /bbs/index.php HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0" "-"
124.65.65.154 - - [28/Jul/2020:22:07:56 +0000] "POST /forum/index.php HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0" "-"
124.65.65.154 - - [28/Jul/2020:22:07:57 +0000] "POST /forums/index.php HTTP/1.1" 404 156 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0" "-"
124.65.65.154 - - [28/Jul/2020:22:07:58 +0000] "POST /cgi-bin/php?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0" "-"
124.65.65.154 - - [28/Jul/2020:22:08:01 +0000] "POST /cgi-bin/php5?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 152 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0" "-"
124.65.65.154 - - [28/Jul/2020:22:08:02 +0000] "POST /cgi-bin/php-cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0" "-"
124.65.65.154 - - [28/Jul/2020:22:08:04 +0000] "POST /cgi-bin/php.cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0" "-"
124.65.65.154 - - [28/Jul/2020:22:08:04 +0000] "POST /cgi-bin/php4?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 152 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0" "-"
124.65.65.154 - - [28/Jul/2020:22:08:05 +0000] "POST /%62%61%73%65/%70%6F%73%74%2E%70%68%70 HTTP/1.1" 404 177 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0" "-"
124.65.65.154 - - [28/Jul/2020:22:08:08 +0000] "GET /webdav/ HTTP/1.1" 404 146 "-" "Mozilla/5.0" "-"
124.65.65.154 - - [28/Jul/2020:22:08:08 +0000] "GET /%69%73%70%69%72%69%74/%69%6D/%75%70%6C%6F%61%64%2E%70%68%70 HTTP/1.1" 404 198 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:09 +0000] "GET /help.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:10 +0000] "GET /java.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:10 +0000] "GET /_query.php HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:11 +0000] "GET /test.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:12 +0000] "GET /db_cts.php HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:13 +0000] "GET /db_pma.php HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:15 +0000] "GET /logon.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:15 +0000] "GET /help-e.php HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:16 +0000] "GET /license.php HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:17 +0000] "GET /log.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:18 +0000] "GET /hell.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:20 +0000] "GET /pmd_online.php HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:21 +0000] "GET /x.php HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:25 +0000] "GET /shell.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:27 +0000] "GET /htdocs.php HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:27 +0000] "GET /b.php HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:28 +0000] "GET /sane.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:30 +0000] "GET /desktop.ini.php HTTP/1.1" 404 154 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:32 +0000] "GET /z.php HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:33 +0000] "GET /lala.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:34 +0000] "GET /lala-dpr.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:35 +0000] "GET /wpc.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:36 +0000] "GET /wpo.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:37 +0000] "GET /t6nv.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:37 +0000] "GET /muhstik.php HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:37 +0000] "GET /text.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:37 +0000] "GET /wp-config.php HTTP/1.1" 404 152 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:38 +0000] "GET /muhstik.php HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:39 +0000] "GET /muhstik2.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:39 +0000] "GET /muhstiks.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:39 +0000] "GET /muhstik-dpr.php HTTP/1.1" 404 154 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:40 +0000] "GET /lol.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:40 +0000] "GET /uploader.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:44 +0000] "GET /cmd.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:45 +0000] "GET /cmv.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:48 +0000] "GET /cmdd.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:52 +0000] "GET /knal.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:54 +0000] "GET /cmd.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:56 +0000] "GET /shell.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:57 +0000] "GET /appserv.php HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:57 +0000] "GET /scripts/setup.php HTTP/1.1" 404 156 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:57 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 404 167 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:08:59 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 167 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:00 +0000] "GET /scripts/db___.init.php HTTP/1.1" 404 161 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:00 +0000] "GET /phpmyadmin/scripts/db___.init.php HTTP/1.1" 404 172 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:01 +0000] "GET /phpMyAdmin/scripts/db___.init.php HTTP/1.1" 404 172 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:04 +0000] "GET /pma/scripts/setup.php HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:04 +0000] "GET /PMA/scripts/setup.php HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:05 +0000] "GET /myadmin/scripts/setup.php HTTP/1.1" 404 164 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:05 +0000] "GET /MyAdmin/scripts/setup.php HTTP/1.1" 404 164 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:05 +0000] "GET /pma/scripts/db___.init.php HTTP/1.1" 404 165 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:06 +0000] "GET /PMA/scripts/db___.init.php HTTP/1.1" 404 165 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:06 +0000] "GET /myadmin/scripts/db___.init.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:07 +0000] "GET /MyAdmin/scripts/db___.init.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:07 +0000] "GET /plugins/weathermap/editor.php HTTP/1.1" 404 168 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:08 +0000] "GET /cacti/plugins/weathermap/editor.php HTTP/1.1" 404 174 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:09 +0000] "GET /weathermap/editor.php HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
124.65.65.154 - - [28/Jul/2020:22:09:12 +0000] "GET /index.php?s=%2f%69%6e%64%65%78%2f%5c%74%68%69%6e%6b%5c%61%70%70%2f%69%6e%76%6f%6b%65%66%75%6e%63%74%69%6f%6e&function=%63%61%6c%6c%5f%75%73%65%72%5f%66%75%6e%63%5f%61%72%72%61%79&vars[0]=%6d%645&vars[1][]=%48%65%6c%6c%6f%54%68%69%6e%6b%50%48%50 HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36" "-"
